source,trade_id,timestamp,event_type,total_buys,total_sells,total_trades,win_rate_pct,realized_pnl_usd,realized_pnl_sol,total_cost_usd,sold_income_usd,total_fees_usd,native_balance_sol,avg_holding_seconds,loss_gt_50,loss_0_50,profit_0_100,profit_100_400,profit_gt_400,token_address,token_amount,current_sol_balance,token_symbol,quote_amount_sol,buy_cost_usd,sold_usd,pnl_usd,pnl_pct,pnl_sol,is_win,score_at_buy,rug_ratio,source_strat,timestamp_open,timestamp_close,entry_price,smart_degen,bundler_rate,holder_count,price_usd,launchpad,tx_hash,gas_usd,dex_usd,priority_fee_sol,tip_fee_sol
gmgn_stats,0,2026-07-04 03:50:17 UTC,summary,102,93,195,20.77922077922078,-86.82708794678472658014,-0.2187441635039057,460.70028013809,310.107333324,45.460296979709995,0.153210798,2538.46875,33,28,34,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
solscan_rpc,0,2026-07-04 03:50:17 UTC,current_holding,,,,,,,,,,,,,,,,,8THSuQMkLYm9oXoCLYJ3PLRtBySDbnfYLP5fGsWz58w3,658509.563915,0.153210798,,,,,,,,,,,,,,,,,,,,,,,,
bot_trade_log,21,2026-07-03 21:21:50 UTC,close,,,,,,,,,,,,,,,,,2bLuP7t95Cc51pQJyqoVTzxjZpDKUTojJHApreGMpump,,,BOĞA,0.05,,,,,-0.005,False,100,0.02,trending,2026-07-03 21:21:31 UTC,2026-07-03 21:21:50 UTC,,,,,,,,,,,
bot_trade_log,22,2026-07-03 21:21:50 UTC,close,,,,,,,,,,,,,,,,,5WREjrFhrAEvruRMQERc8zvn5ohZfYNFpapLbtekpump,,,run,0.05,,,,,-0.005,False,100,0.21,trending,2026-07-03 21:21:31 UTC,2026-07-03 21:21:50 UTC,,,,,,,,,,,
bot_positions,123,2026-07-03 21:21:50 UTC,close,,,,,,,,,,,,,,,,,2bLuP7t95Cc51pQJyqoVTzxjZpDKUTojJHApreGMpump,,,BOĞA,0.05,,,,,-0.005000000000000001,False,100,0.02,trending,2026-07-03 21:21:31 UTC,2026-07-03 21:21:50 UTC,49185.4,10,0.277,327,,,,,,,
bot_trade_log,23,2026-07-03 21:21:51 UTC,close,,,,,,,,,,,,,,,,,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,,,ANSEM,0.05,,,,,-0.005,False,100,0.21,smart_money,2026-07-03 21:21:31 UTC,2026-07-03 21:21:51 UTC,,,,,,,,,,,
bot_trade_log,24,2026-07-03 21:21:51 UTC,close,,,,,,,,,,,,,,,,,4U4U8oXwDyVXGeTffMXds4NAgBgLFwq3wNvTCRTSpump,,,TJR,0.05,,,,,-0.005,False,100,0.21,smart_money,2026-07-03 21:21:31 UTC,2026-07-03 21:21:51 UTC,,,,,,,,,,,
bot_positions,124,2026-07-03 21:21:51 UTC,close,,,,,,,,,,,,,,,,,5WREjrFhrAEvruRMQERc8zvn5ohZfYNFpapLbtekpump,,,run,0.05,,,,,-0.005000000000000001,False,100,0.21,trending,2026-07-03 21:21:31 UTC,2026-07-03 21:21:51 UTC,37387.1,1,0.3575,198,,,,,,,
bot_positions,125,2026-07-03 21:21:51 UTC,close,,,,,,,,,,,,,,,,,9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump,,,ANSEM,0.05,,,,,-0.005000000000000001,False,100,0.21,smart_money,2026-07-03 21:21:31 UTC,2026-07-03 21:21:51 UTC,306247000,109,0.7784,99267,,,,,,,
bot_trade_log,25,2026-07-03 21:21:52 UTC,close,,,,,,,,,,,,,,,,,FMqh9mqR6drPZqqW6wPqLHxX4rqNDWGhYLaMfoaJpump,,,world,0.05,,,,,-0.005,False,100,0.164,smart_money,2026-07-03 21:21:31 UTC,2026-07-03 21:21:52 UTC,,,,,,,,,,,
bot_positions,126,2026-07-03 21:21:52 UTC,close,,,,,,,,,,,,,,,,,4U4U8oXwDyVXGeTffMXds4NAgBgLFwq3wNvTCRTSpump,,,TJR,0.05,,,,,-0.005000000000000001,False,100,0.21,smart_money,2026-07-03 21:21:31 UTC,2026-07-03 21:21:52 UTC,650491,63,0.0418,4202,,,,,,,
bot_positions,127,2026-07-03 21:21:52 UTC,close,,,,,,,,,,,,,,,,,FMqh9mqR6drPZqqW6wPqLHxX4rqNDWGhYLaMfoaJpump,,,world,0.05,,,,,-0.005000000000000001,False,100,0.164,smart_money,2026-07-03 21:21:31 UTC,2026-07-03 21:21:52 UTC,4257140,51,0.2782,8201,,,,,,,
bot_trade_log,26,2026-07-03 21:22:34 UTC,close,,,,,,,,,,,,,,,,,EDcgxGEi3Y9YY3aSdsyEwEDUYz9oLNrTuMoNVs24pump,,,KEKIUS,0.05,,,,,-0.005,False,100,0.214,trending,2026-07-03 21:22:01 UTC,2026-07-03 21:22:34 UTC,,,,,,,,,,,
bot_trade_log,27,2026-07-03 21:22:35 UTC,close,,,,,,,,,,,,,,,,,BcHEaaTCvycPwwsJ9yQTXdHP9X2gCLkznDbZ8VySpump,,,Jotchua,0.05,,,,,-0.005,False,100,0.252,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:35 UTC,,,,,,,,,,,
bot_trade_log,28,2026-07-03 21:22:35 UTC,close,,,,,,,,,,,,,,,,,DdPrHYqM8Ueovnk9kAnAgoGhswkuaTqmxcoZzU3Zpump,,,manlet,0.05,,,,,-0.005,False,100,0,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:35 UTC,,,,,,,,,,,
bot_trade_log,29,2026-07-03 21:22:35 UTC,close,,,,,,,,,,,,,,,,,35B4vyZzEHQmL7Mg9Am8KpuTcNxEUW4Qdw8xiMhipump,,,KEVIN,0.05,,,,,-0.005,False,100,0.01,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:35 UTC,,,,,,,,,,,
